LifeExpectancy,Fertility
75.2067561,1.681
60.50912195,5.141
51.464,5.979
77.35046341,1.76
69.94970243,3.233401748
76.95787805,1.82
76.01268293,2.188
74.43721951,1.739
75.66531707,2.102
82.09512195,1.927
80.93658537,1.44
70.62495122,2
53.6287561,6.123
80.38536585,1.79
59.1194878,4.927
55.86202439,5.693
70.29485366,2.208
74.31463415,1.5
76.53619512,2.094
74.91446341,1.893
76.12114634,1.268
72.06341463,1.62
,2.715
79.28853659,1.76
66.92663415,3.264
73.61787805,1.811
75.13202439,1.845
78.37346341,2.012
67.88926829,2.275
46.99070732,2.665
49.47539024,4.451
81.23804878,1.61
76.04586273,1.407168805
82.69756098,
80.11982927,1.451
79.57265854,1.832
75.1995122,1.663
50.40173171,4.894
54.5875122,4.859
58.29656098,5.012
73.77707317,2.316
60.644,4.782
74.54373171,2.331
79.70502439,1.81
71.7986121,2.186514853
79.06702439,1.453
79.63712195,1.465
78.07560976,1.45
80.89268293,1.38
61.30397561,3.457
80.05121951,1.73
73.23297561,2.517
70.88217073,2.82
,1.85340459
74.73287191,1.818717188
72.27343455,2.001445023
76.70376109,1.718219045
76.19256098,2.59
70.9072439,2.807
81.61444514,1.542626691
62.23478049,4.785
82.37804878,1.32
76.42682927,1.55
62.96595122,4.642
80.54442826,1.569958514
59.95914097,4.378288532
80.62682927,1.8
69.74473171,2.615
82.56585366,2.01
68.85021951,3.347
63.07392683,4.136
81.5,1.9
73.94487805,1.82
60.94712195,3.92
55.84465854,5.001
58.60707317,5.775
54.03363415,4.989
52.61290244,4.945
80.63414634,1.34
72.61034146,2.194
71.66385366,3.844
78.61856098,2.426
66.04626829,2.591
79.29527476,1.683849696
83.4804878,1.285
,3.05
58.24085234,5.109212965
76.92439024,1.51
62.70265854,
75.06341463,1.34
70.6072439,2.37
66.21085366,2.505
80.89512195,2.01
73.76273171,1.917
69.24192683,4.086
82.91707317,2.04
81.70487805,3.04
82.93658537,1.4
73.2824878,2.284
73.74739024,3.314
83.09609756,1.41
69.61,2.59
61.08317073,4.459
70.00243902,3.1
71.40882927,2.894
68.53234146,2.982
81.36829268,1.297
70.49756098,2.19
74.359,2.626
74.46199407,2.198931414
67.80592683,3.108
79.84636585,1.498
60.20639024,4.868
75.17604878,2.41
74.67417073,1.936
74.63865383,2.183411011
61.12517103,4.245520107
61.61872471,
82.38292683,1.51
74.06804878,2.346
66.20902445,2.902939527
68.85343044,2.625617786
48.836,3.092
73.86341463,1.6
81.39268293,1.57
73.77804878,1.44
80.12778049,1.058
79.02195122,1.82
,2.706
68.69341463,1.462
64.24863415,4.528
77.57382927,2.287
72.18730286,2.745894094
77.13507317,2.216
70.07561806,2.394631172
75.03126829,1.436
54.60392683,6.852
80.74634146,1.43
64.93246341,1.959
71.431472,2.7688646
74.64987805,1.676
67.33943902,
49.83626829,5.263
61.35060976,4.728
73.56634146,1.43
54.72378049,5.471
74.84229268,1.975
78.99040047,1.853296471
63.88114634,3.107
76.25341463,2.149
57.96617073,7.574
52.10902439,6.002
74.46539024,2.541
81.10487805,1.72
73.44282465,1.765719589
81.45121951,1.85
67.98270732,2.389
81.15609756,2.05
80.68511914,1.664828603
79.95512974,1.750577849
76.59104878,2.884
59.5348701,3.557043236
66.43587805,3.264
77.36809756,2.493
74.51553659,2.448
68.55373171,3.076
62.29892683,3.838
76.79756098,1.3
78.53553659,1.644
69.50063415,1.995
80.37317073,1.28
72.19373171,2.897
69.68339061,3.310031111
76.12902439,2.075
78.45380488,2.036
74.56341463,1.53
70.46097561,1.59
63.49285366,4.616
66.64470691,2.59316488
75.49690244,2.702
61.86395122,4.491
63.20217073,4.981
82.14390244,1.29
67.50707317,4.099
45.32904878,4.782
72.10453659,2.209
54.6912439,6.667
75.23414634,1.32
56.4419985,5.110780585
54.64295122,5.01
56.43890783,5.110645733
63.20306578,3.201350028
66.13487805,4.145
70.81139024,2.292
76.1097561,1.34
80.12439024,1.58
81.70487805,1.91
48.85063415,3.407
72.72439024,2.4
74.71070732,3.003
50.70058537,6.375
56.15034146,4.695
74.18797561,1.412
67.25717073,3.819
65.31358537,2.353
67.02058537,5.3
72.489,3.815
69.81714634,1.799
75.1,2.17
74.86243902,2.06
60.84643902,5.287
58.64797561,5.964
70.94414634,1.531
74.15797921,1.887163376
76.90782927,2.056
78.74146341,1.8805
68.104,2.53
,2.021
74.4875122,2.417
79.47317073,1.8
75.60668293,1.768
71.41068293,3.419
73.01787805,4.076
70.77924335,2.468950595
72.98204878,4.212
62.90578049,4.207
56.09831707,2.412
49.62326829,6.039
57.02258537,
58.04597561,3.564
